Name,Record,Fighter URL,Height,Weight,Reach,STANCE,DOB,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,N_Name,id,weight_class
Azamat Murzakanov,14-0-0,http://www.ufcstats.com/fighter-details/e90a2f22417af68e,"5' 10""",205 lbs.,"71""",Southpaw,"Apr 12, 1989",4.72,56%,2.9,61%,0.62,15%,83%,0.0,"Murzakanov, Azamat",sr:competitor:346976,light_heavyweight(186-205)
Nursulton Ruziboev,36-9-2 (2 NC),http://www.ufcstats.com/fighter-details/49d2a08964c5eb11,"6' 5""",185 lbs.,"76""",Orthodox,"Nov 19, 1993",2.59,46%,2.89,48%,0.75,66%,33%,0.0,"Ruziboev, Nursulton",sr:competitor:1027341,middleweight(171-185)
Matt Schnell,17-9-0 (1 NC),http://www.ufcstats.com/fighter-details/67c1d46f4ed16f9e,"5' 8""",125 lbs.,"70""",Orthodox,"Jan 15, 1990",4.13,40%,4.17,55%,0.49,40%,43%,1.2,"Schnell, Matt",sr:competitor:303100,bantamweight(126-135)
Angela Hill,18-14-0,http://www.ufcstats.com/fighter-details/f0feeb2192937424,"5' 3""",115 lbs.,"64""",Orthodox,"Jan 12, 1985",5.47,50%,4.92,61%,0.81,32%,75%,0.1,"Hill, Angela",sr:competitor:542071,strawweight(106-115)
Brian Kelleher,24-16-0,http://www.ufcstats.com/fighter-details/7be14eaed4c74856,"5' 6""",135 lbs.,"66""",Switch,"Aug 19, 1986",3.31,41%,4.59,54%,1.68,41%,60%,0.7,"Kelleher, Brian",sr:competitor:340482,featherweight(136-145)
Garrett Armfield,10-5-0,http://www.ufcstats.com/fighter-details/1effd880e1f1bb30,"5' 6""",135 lbs.,"70""",Orthodox,"Oct 09, 1996",5.35,53%,3.64,56%,1.1,50%,64%,0.6,"Armfield, Garrett",sr:competitor:917015,bantamweight(126-135)
Pat Sabatini,20-5-0,http://www.ufcstats.com/fighter-details/b8bbdeff718dbb7d,"5' 8""",145 lbs.,"70""",Orthodox,"Nov 09, 1990",1.87,62%,1.22,49%,3.98,48%,50%,1.8,"Sabatini, Pat",sr:competitor:776484,featherweight(136-145)
Justin Jaynes,16-8-0,http://www.ufcstats.com/fighter-details/304a21d0595e1a08,"5' 7""",145 lbs.,"68""",Orthodox,"Aug 10, 1989",3.34,44%,5.33,62%,0.75,40%,20%,1.1,"Jaynes, Justin",sr:competitor:723639,lightweight(146-155)
Jarno Errens,14-6-1,http://www.ufcstats.com/fighter-details/082eba4cd80f736f,"5' 11""",145 lbs.,"73""",Orthodox,"Nov 17, 1994",3.29,44%,3.29,61%,0.0,0%,33%,0.3,"Errens, Jarno",sr:competitor:936063,featherweight(136-145)
Umar Nurmagomedov,18-1-0,http://www.ufcstats.com/fighter-details/2b6fc1c02736833d,"5' 8""",135 lbs.,"69""",Orthodox,"Jan 03, 1996",4.38,57%,2.15,60%,3.26,39%,78%,0.3,"Nurmagomedov, Umar",sr:competitor:497764,bantamweight(126-135)
Kevin Syler,10-1-0,http://www.ufcstats.com/fighter-details/9094a881a7513de3,"5' 9""",155 lbs.,"71""",Switch,"Jul 29, 1993",5.6,69%,4.03,48%,1.0,40%,77%,2.0,"Syler, Kevin",sr:competitor:599894,featherweight(136-145)
Alexander Yakovlev,24-10-1,http://www.ufcstats.com/fighter-details/d06f8869449ba7bd,"6' 3""",155 lbs.,"74""",Southpaw,"Jul 18, 1984",1.74,47%,2.41,58%,1.66,35%,72%,0.1,"Yakovlev, Alexander",sr:competitor:273541,lightweight(146-155)
Jan Blachowicz,29-11-1,http://www.ufcstats.com/fighter-details/99df7d0a2a08a8a8,"6' 2""",205 lbs.,"78""",Orthodox,"Feb 24, 1983",3.44,49%,3.03,52%,1.03,48%,69%,0.3,"Blachowicz, Jan",sr:competitor:250143,light_heavyweight(186-205)
Emily Ducote,13-9-0,http://www.ufcstats.com/fighter-details/02f8fedc18cbd26c,"5' 2""",115 lbs.,"63""",Orthodox,"Jan 01, 1994",7.45,52%,7.84,57%,0.2,14%,94%,0.0,"Ducote, Emily",sr:competitor:303206,strawweight(106-115)
Gadzhimurad Antigulov,20-8-0,http://www.ufcstats.com/fighter-details/af997f7611673880,"5' 11""",205 lbs.,"70""",Orthodox,"Feb 09, 1987",2.08,55%,4.21,40%,5.08,36%,0%,1.4,"Antigulov, Gadzhimurad",sr:competitor:299984,light_heavyweight(186-205)
Pedro Munhoz,20-10-0 (2 NC),http://www.ufcstats.com/fighter-details/6bd02119599741a4,"5' 6""",135 lbs.,"65""",Orthodox,"Sep 07, 1986",5.38,41%,6.29,55%,0.48,16%,82%,0.5,"Munhoz, Pedro",sr:competitor:542113,bantamweight(126-135)
Tereza Bleda,7-1-0,http://www.ufcstats.com/fighter-details/59c438c81fbf3ece,"5' 9""",125 lbs.,"71""",Orthodox,"Nov 30, 2001",3.02,53%,1.86,46%,1.81,27%,83%,0.7,"Bleda, Tereza",sr:competitor:760246,flyweight(116-125)
Stewart Nicoll,8-1-0,http://www.ufcstats.com/fighter-details/2bd98ab77a8daa75,"5' 5""",125 lbs.,"65""",Orthodox,"Nov 04, 1994",3.02,47%,1.13,40%,5.66,100%,0%,0.0,"Nicoll, Stewart",sr:competitor:1166889,flyweight(116-125)
Josh Parisian,15-8-0,http://www.ufcstats.com/fighter-details/b5da8f7d05e85a55,"6' 4""",265 lbs.,"79""",Orthodox,"Jun 28, 1989",4.55,48%,4.88,41%,0.98,33%,46%,0.2,"Parisian, Josh",sr:competitor:453297,heavyweight(206-265)
