date,competition,winner,winner_abbreviation,winner_gender,winner_qualifier,winner_id,winner_control,winner_knockdowns,winner_significant_strike_percentage,winner_significant_strikes,winner_significant_strikes_attempted,winner_submission_attempts,winner_takedown_percentage,winner_takedowns,winner_takedowns_attempted,winner_total_strike_percentage,winner_total_strikes,winner_total_strikes_attempted,loser,loser_abbreviation,loser_gender,loser_qualifier,loser_id,loser_control,loser_knockdowns,loser_significant_strike_percentage,loser_significant_strikes,loser_significant_strikes_attempted,loser_submission_attempts,loser_takedown_percentage,loser_takedowns,loser_takedowns_attempted,loser_total_strike_percentage,loser_total_strikes,loser_total_strikes_attempted,final_round,final_round_length,method,scheduled_length,weight_class,strike_accuracy_diff ,total_strike_accuracy_diff  ,knockdowns_diff,takedown_accuracy_diff,takedowns_diff,submission_attempts_diff
2019-03-16,UFC Fight Night - London,"Grundy, Mike",GRU,male,home,sr:competitor:539717,0:00,1,52.38,22,42,0,33.33,1,3,55.56,25,45,"Narimani, Nad",NAR,male,away,sr:competitor:422967,0:00,0,100.0,24,24,0,0.0,0,1,23.36,25,107,2,4:42,ko_tko,3,featherweight(136-145),-47.62,32.2,1,33.33,1,0
2019-03-16,UFC Fight Night - London,"McCann, Molly",MCC,female,home,sr:competitor:441632,0:00,0,54.31,107,197,2,18.18,2,11,55.0,110,200,"Cachoeira, Priscila",CAC,female,away,sr:competitor:408277,0:00,0,32.05,75,234,0,0.0,0,0,32.35,77,238,3,5:00,decision_unanimous,3,flyweight(116-125),22.260000000000005,22.65,0,18.18,2,2
2019-03-16,UFC Fight Night - London,"Ige, Dan",IGE,male,away,sr:competitor:539711,0:00,0,62.5,5,8,0,0.0,0,0,70.0,7,10,"Henry, Danny",HEN,male,home,sr:competitor:355566,0:00,0,54.55,6,11,0,100.0,1,1,54.55,6,11,1,1:17,submission,3,featherweight(136-145),7.950000000000003,15.450000000000003,0,-100.0,-1,0
2019-03-16,UFC Fight Night - London,"Safarov, Saparbek",SAF,male,away,sr:competitor:304962,0:00,0,81.4,70,86,0,60.0,3,5,89.1,139,156,"Negumereanu, Nicolae",NEG,male,home,sr:competitor:552125,0:00,0,40.74,11,27,0,0.0,0,0,55.56,20,36,3,5:00,decision_unanimous,3,light_heavyweight(186-205),40.660000000000004,33.53999999999999,0,60.0,3,0
2019-03-16,UFC Fight Night - London,"Diakiese, Marc",DIA,male,home,sr:competitor:290246,0:00,1,59.43,63,106,0,75.0,3,4,64.0,80,125,"Duffy, Joe",DUF,male,away,sr:competitor:267857,0:00,0,25.0,15,60,0,33.33,1,3,33.8,24,71,3,5:00,decision_unanimous,3,lightweight(146-155),34.43,30.200000000000003,1,41.67,2,0
2019-03-16,UFC Fight Night - London,"Allen, Arnold",ALL,male,home,sr:competitor:245447,0:00,1,33.33,37,111,0,0.0,0,0,35.04,41,117,"Rinaldi, Jordan",RIN,male,away,sr:competitor:260627,0:00,0,28.85,30,104,0,0.0,0,3,28.57,30,105,3,5:00,decision_unanimous,3,featherweight(136-145),4.479999999999997,6.469999999999999,1,0.0,0,0
2019-03-16,UFC Fight Night - London,"Marshman, Jack",MAR,male,home,sr:competitor:542107,0:00,0,20.81,31,149,0,0.0,0,0,20.81,31,149,"Phillips, John",PHI,male,away,sr:competitor:312030,0:00,1,33.68,32,95,0,0.0,0,0,35.35,35,99,3,5:00,decision_split,3,middleweight(171-185),-12.870000000000001,-14.540000000000003,-1,0.0,0,0
2019-03-16,UFC Fight Night - London,"Silva, Claudio",SIL,male,away,sr:competitor:441614,0:00,0,50.0,19,38,4,60.0,3,5,62.5,35,56,"Roberts, Danny",ROB,male,home,sr:competitor:253361,0:00,0,57.78,26,45,0,0.0,0,0,60.42,29,48,3,2:37,submission,3,welterweight(156-170),-7.780000000000001,2.0799999999999983,0,60.0,3,4
2019-03-16,UFC Fight Night - London,"Wood, Nathaniel",WOO,male,home,sr:competitor:542167,0:00,0,54.43,86,158,4,66.67,4,6,59.09,104,176,"Quinonez, Jose",QUI,male,away,sr:competitor:285667,0:00,0,50.0,58,116,0,25.0,2,8,50.0,58,116,2,2:46,submission,3,bantamweight(126-135),4.43,9.090000000000003,0,41.67,2,4
2019-03-16,UFC Fight Night - London,"Reyes, Dominick",REY,male,away,sr:competitor:347406,0:00,0,36.36,44,121,0,0.0,0,2,37.9,47,124,"Oezdemir, Volkan",OEZ,male,home,sr:competitor:542115,0:00,0,35.35,35,99,0,14.29,1,7,42.86,48,112,3,5:00,decision_split,3,light_heavyweight(186-205),1.009999999999998,-4.960000000000001,0,-14.29,-1,0
