Id,Country,Brith_Code,DOB,Reach,Height,Weight,Nickname,Wins,Draws,Losses
sr:competitor:251835,RUSSIAN FEDERATION,RUS,1991-09-27,179,178,70.3,,27,0,2
sr:competitor:750503,GERMANY,DEU,1997-01-21,175,170,65.5,El Matador,16,0,0
sr:competitor:399183,GEORGIA,GEO,1991-01-10,173,168,60.8,The Machine,18,0,4
sr:competitor:400461,,,1994-01-14,193,185,83.9,Stillknocks,23,0,2
sr:competitor:419867,RUSSIAN FEDERATION,RUS,1992-06-02,191,191,93.0,,21,1,1
sr:competitor:267867,UNITED STATES,USA,1988-07-09,183,180,77.1,Remember The Name,24,0,4
sr:competitor:837536,BRAZIL,BRA,1987-07-07,203,194,93.0,Poatan,12,0,3
sr:competitor:290262,AUSTRALIA,AUS,1988-09-29,182,168,65.8,The Great,27,0,4
sr:competitor:312032,BRAZIL,BRA,1990-04-16,173,166,61.2,The Cannibal,29,0,5
sr:competitor:545279,ENGLAND,ENG,1993-04-11,198,196,113.9,,15,0,3
sr:competitor:237652,UNITED STATES,USA,1991-12-04,175,180,70.8,Blessed,26,0,8
sr:competitor:397240,UNITED STATES,USA,1994-10-24,183,180,61.2,Suga,18,0,1
sr:competitor:542119,BRAZIL,BRA,1989-10-17,188,178,70.8,Do Bronx,35,0,10
sr:competitor:567145,GEORGIA,GEO,1996-10-11,184,170,70.8,Ahalkalakets,22,0,3
sr:competitor:312032,BRAZIL,BRA,1990-04-16,173,166,61.2,The Cannibal,29,0,5
sr:competitor:715231,UNITED STATES,USA,1992-08-16,179,175,57.1,Raw Dawg,17,0,7
sr:competitor:288695,MEXICO,MEX,1993-12-07,178,170,57.1,The Assassin Baby,23,2,8
sr:competitor:441656,IRAQ,IRQ,1993-10-27,173,165,57.2,The Prince,17,0,2
sr:competitor:511412,NEW ZEALAND,NZL,1993-03-26,175,163,56.7,Don't Blink,25,0,11
sr:competitor:879899,JAPAN,JPN,2000-01-27,178,170,57.2,,16,0,1
sr:competitor:384992,ANGOLA,AGO,1993-11-14,173,165,56.9,StarBoy,21,0,7
sr:competitor:399179,UNITED STATES,USA,1992-03-21,166,168,57.2,,25,0,9
sr:competitor:1005683,,,1994-01-25,165,163,56.9,Zulfikar,21,0,3
sr:competitor:909471,,,1995-07-27,174,173,56.9,Astroboy,12,0,4
sr:competitor:723645,RUSSIAN FEDERATION,RUS,1991-07-08,178,170,56.5,,16,0,2
sr:competitor:303538,UNITED STATES,USA,1986-12-24,168,170,61.7,,21,1,13
sr:competitor:588493,BRAZIL,BRA,1990-03-16,168,163,57.2,Bulldog,14,2,6
sr:competitor:1003149,,,1997-01-31,160,163,56.9,Temurlan,18,0,2
sr:competitor:1000813,,,2001-10-10,165,165,56.9,The Fearless,13,0,2
sr:competitor:401993,,,1993-10-31,175,172,56.7,,21,0,5
sr:competitor:399183,GEORGIA,GEO,1991-01-10,173,168,60.8,The Machine,18,0,4
sr:competitor:397240,UNITED STATES,USA,1994-10-24,183,180,61.2,Suga,18,0,1
sr:competitor:542169,RUSSIAN FEDERATION,RUS,1993-02-11,170,169,61.2,No Mercy,17,0,5
sr:competitor:497764,RUSSIAN FEDERATION,RUS,1996-03-01,175,173,61.2,,18,0,1
sr:competitor:464141,UNITED STATES,USA,1992-04-20,178,180,61.5,Sandman,18,0,5
sr:competitor:449143,CHINA,CHN,1997-12-02,170,173,61.7,Kung Fu Kid,22,1,8
sr:competitor:340506,BRAZIL,BRA,1987-12-18,173,165,61.2,Deus da Guerra,24,1,4
sr:competitor:245495,ECUADOR,ECU,1992-12-02,179,173,61.7,Chito,21,1,10
