Name,Id,Ranking,Gender,Category,Year,Week
"Makhachev, Islam",sr:competitor:251835,1,male,pound_for_pound,2025,19
"Jones, Jon",sr:competitor:253371,2,male,pound_for_pound,2025,19
"Topuria, Ilia",sr:competitor:750503,3,male,pound_for_pound,2025,19
"Dvalishvili, Merab",sr:competitor:399183,4,male,pound_for_pound,2025,19
"Du Plessis, Dricus",sr:competitor:400461,5,male,pound_for_pound,2025,19
"Ankalaev, Magomed",sr:competitor:419867,6,male,pound_for_pound,2025,19
"Muhammad, Belal",sr:competitor:267867,7,male,pound_for_pound,2025,19
"Pereira, Alex",sr:competitor:837536,8,male,pound_for_pound,2025,19
"Volkanovski, Alex",sr:competitor:290262,9,male,pound_for_pound,2025,19
"Pantoja, Alexandre",sr:competitor:312032,10,male,pound_for_pound,2025,19
"Aspinall, Tom",sr:competitor:545279,11,male,pound_for_pound,2025,19
"Holloway, Max",sr:competitor:237652,12,male,pound_for_pound,2025,19
"O'Malley, Sean",sr:competitor:397240,13,male,pound_for_pound,2025,19
"Oliveira, Charles",sr:competitor:542119,14,male,pound_for_pound,2025,19
"Tsarukyan, Arman",sr:competitor:567145,15,male,pound_for_pound,2025,19
"Pantoja, Alexandre",sr:competitor:312032,0,male,flyweight,2025,19
"Royval, Brandon",sr:competitor:715231,1,male,flyweight,2025,19
"Moreno, Brandon",sr:competitor:288695,2,male,flyweight,2025,19
"Albazi, Amir",sr:competitor:441656,3,male,flyweight,2025,19
"Kara-France, Kai",sr:competitor:511412,4,male,flyweight,2025,19
"Taira, Tatsuro",sr:competitor:879899,5,male,flyweight,2025,19
"Kape, Manel",sr:competitor:384992,6,male,flyweight,2025,19
"Perez, Alex",sr:competitor:399179,7,male,flyweight,2025,19
"Almabayev, Asu",sr:competitor:1005683,8,male,flyweight,2025,19
"Erceg, Steve",sr:competitor:909471,9,male,flyweight,2025,19
"Ulanbekov, Tagir",sr:competitor:723645,10,male,flyweight,2025,19
"Elliott, Tim",sr:competitor:303538,11,male,flyweight,2025,19
"Silva, Bruno",sr:competitor:588493,12,male,flyweight,2025,19
"Temirov, Ramazonbek",sr:competitor:1003149,13,male,flyweight,2025,19
"van, Joshua",sr:competitor:1000813,14,male,flyweight,2025,19
"Asakura, Kai",sr:competitor:401993,15,male,flyweight,2025,19
"Dvalishvili, Merab",sr:competitor:399183,0,male,bantamweight,2025,19
"O'Malley, Sean",sr:competitor:397240,1,male,bantamweight,2025,19
"Yan, Petr",sr:competitor:542169,2,male,bantamweight,2025,19
"Nurmagomedov, Umar",sr:competitor:497764,3,male,bantamweight,2025,19
"Sandhagen, Cory",sr:competitor:464141,4,male,bantamweight,2025,19
"Song, Yadong",sr:competitor:449143,5,male,bantamweight,2025,19
"Figueiredo, Deiveson",sr:competitor:340506,6,male,bantamweight,2025,19
"Vera, Marlon",sr:competitor:245495,7,male,bantamweight,2025,19
"Font, Rob",sr:competitor:257361,8,male,bantamweight,2025,19
"Cejudo, Henry",sr:competitor:253385,9,male,bantamweight,2025,19
"Bautista, Mario",sr:competitor:542007,10,male,bantamweight,2025,19
"Aldo, Jose",sr:competitor:237616,11,male,bantamweight,2025,19
"Phillips, Kyler",sr:competitor:511502,12,male,bantamweight,2025,19
"McGhee, Marcus",sr:competitor:1009269,13,male,bantamweight,2025,19
"Jackson, Montel",sr:competitor:449113,14,male,bantamweight,2025,19
"Zahabi, Aiemann",sr:competitor:316729,15,male,bantamweight,2025,19
"Volkanovski, Alex",sr:competitor:290262,0,male,featherweight,2025,19
"Holloway, Max",sr:competitor:237652,1,male,featherweight,2025,19
"Lopes, Diego",sr:competitor:830786,2,male,featherweight,2025,19
"Topuria, Ilia",sr:competitor:750503,3,male,featherweight,2025,19
"Rodriguez, Yair",sr:competitor:253381,4,male,featherweight,2025,19
"Evloev, Movsar",sr:competitor:567139,4,male,featherweight,2025,19
"Allen, Arnold",sr:competitor:245447,6,male,featherweight,2025,19
"Ortega, Brian",sr:competitor:237692,7,male,featherweight,2025,19
"Murphy, Lerone",sr:competitor:625910,8,male,featherweight,2025,19
"Sterling, Aljamain",sr:competitor:260623,9,male,featherweight,2025,19
"Emmett, Josh",sr:competitor:256285,10,male,featherweight,2025,19
"Silva, Jean",sr:competitor:1026715,11,male,featherweight,2025,19
"Zalal, Youssef",sr:competitor:677163,12,male,featherweight,2025,19
"Onama, David",sr:competitor:848913,13,male,featherweight,2025,19
"Ige, Dan",sr:competitor:539711,14,male,featherweight,2025,19
"Kattar, Calvin",sr:competitor:361988,15,male,featherweight,2025,19
"Makhachev, Islam",sr:competitor:251835,0,male,lightweight,2025,19
"Tsarukyan, Arman",sr:competitor:567145,1,male,lightweight,2025,19
"Oliveira, Charles",sr:competitor:542119,2,male,lightweight,2025,19
"Gaethje, Justin",sr:competitor:351762,3,male,lightweight,2025,19
"Holloway, Max",sr:competitor:237652,4,male,lightweight,2025,19
"Poirier, Dustin",sr:competitor:261799,5,male,lightweight,2025,19
"Hooker, Daniel",sr:competitor:248591,6,male,lightweight,2025,19
"Gamrot, Mateusz",sr:competitor:386466,7,male,lightweight,2025,19
"Pimblett, Paddy",sr:competitor:656567,8,male,lightweight,2025,19
"Dariush, Beneil",sr:competitor:250863,9,male,lightweight,2025,19
"Moicano, Renato",sr:competitor:257367,10,male,lightweight,2025,19
"Fiziev, Rafael",sr:competitor:511494,11,male,lightweight,2025,19
"Chandler, Michael",sr:competitor:266465,12,male,lightweight,2025,19
"Saint-Denis, Benoit",sr:competitor:844376,13,male,lightweight,2025,19
"Dawson, Grant",sr:competitor:511478,14,male,lightweight,2025,19
"Alvarez, Joel",sr:competitor:543493,15,male,lightweight,2025,19
"Muhammad, Belal",sr:competitor:267867,0,male,welterweight,2025,19
"Brady, Sean",sr:competitor:579813,1,male,welterweight,2025,19
"Rakhmonov, Shavkat",sr:competitor:561032,2,male,welterweight,2025,19
"Edwards, Leon",sr:competitor:256121,3,male,welterweight,2025,19
"Usman, Kamaru",sr:competitor:273539,4,male,welterweight,2025,19
"Della Maddalena, Jack",sr:competitor:830050,5,male,welterweight,2025,19
"Machado Garry, Ian",sr:competitor:594908,6,male,welterweight,2025,19
"Buckley, Joaquin",sr:competitor:430935,7,male,welterweight,2025,19
"Burns, Gilbert",sr:competitor:267851,8,male,welterweight,2025,19
"Covington, Colby",sr:competitor:265079,9,male,welterweight,2025,19
"Neal, Geoffrey",sr:competitor:413419,10,male,welterweight,2025,19
"Thompson, Stephen",sr:competitor:265063,11,male,welterweight,2025,19
"Morales, Michael",sr:competitor:820072,12,male,welterweight,2025,19
"Prates, Carlos",sr:competitor:1020027,13,male,welterweight,2025,19
"Luque, Vicente",sr:competitor:267863,14,male,welterweight,2025,19
"Page, Michael",sr:competitor:254237,15,male,welterweight,2025,19
"Du Plessis, Dricus",sr:competitor:400461,0,male,middleweight,2025,19
"Imavov, Nassourdine",sr:competitor:742869,1,male,middleweight,2025,19
"Strickland, Sean",sr:competitor:244108,2,male,middleweight,2025,19
"Chimaev, Khamzat",sr:competitor:728833,3,male,middleweight,2025,19
"Adesanya, Israel",sr:competitor:410485,4,male,middleweight,2025,19
"Whittaker, Robert",sr:competitor:253377,5,male,middleweight,2025,19
"Borralho, Caio",sr:competitor:820060,6,male,middleweight,2025,19
"Cannonier, Jared",sr:competitor:250133,7,male,middleweight,2025,19
"Dolidze, Roman",sr:competitor:577053,8,male,middleweight,2025,19
"Hernandez, Anthony",sr:competitor:449127,9,male,middleweight,2025,19
"Vettori, Marvin",sr:competitor:278713,10,male,middleweight,2025,19
"Allen, Brendan",sr:competitor:599908,11,male,middleweight,2025,19
"Costa, Paulo Henrique",sr:competitor:320689,12,male,middleweight,2025,19
"de Ridder, Reinier",sr:competitor:678801,13,male,middleweight,2025,19
"Kopylov, Roman",sr:competitor:642158,14,male,middleweight,2025,19
"Magomedov, Abusupiyan",sr:competitor:457841,15,male,middleweight,2025,19
"Ankalaev, Magomed",sr:competitor:419867,0,male,light_heavyweight,2025,19
"Pereira, Alex",sr:competitor:837536,1,male,light_heavyweight,2025,19
"Prochazka, Jiri",sr:competitor:251853,2,male,light_heavyweight,2025,19
"Ulberg, Carlos",sr:competitor:753947,3,male,light_heavyweight,2025,19
"Hill, Jamahal",sr:competitor:608564,4,male,light_heavyweight,2025,19
"Blachowicz, Jan",sr:competitor:250143,5,male,light_heavyweight,2025,19
"Rakic, Aleksandar",sr:competitor:372544,6,male,light_heavyweight,2025,19
"Rountree, Khalil",sr:competitor:301658,7,male,light_heavyweight,2025,19
"Reyes, Dominick",sr:competitor:347406,8,male,light_heavyweight,2025,19
"Oezdemir, Volkan",sr:competitor:542115,9,male,light_heavyweight,2025,19
"Krylov, Nikita",sr:competitor:256105,10,male,light_heavyweight,2025,19
"Walker, Johnny",sr:competitor:511852,11,male,light_heavyweight,2025,19
"Murzakanov, Azamat",sr:competitor:346976,12,male,light_heavyweight,2025,19
"Mingyang, Zhang",sr:competitor:913003,13,male,light_heavyweight,2025,19
"Guskov, Bogdan",sr:competitor:1049263,14,male,light_heavyweight,2025,19
"Menifield, Alonzo",sr:competitor:449099,15,male,light_heavyweight,2025,19
"Jones, Jon",sr:competitor:253371,0,male,heavyweight,2025,19
"Aspinall, Tom",sr:competitor:545279,1,male,heavyweight,2025,19
