Name,Id,Ranking,Gender,Category,Year_Ranking,Week_ranking,Country,Brith_Code,DOB,Reach,Height,Weight,Nickname,Wins,Draws,Losses
"Makhachev, Islam",sr:competitor:251835,1,male,pound_for_pound,2025,19,RUSSIAN FEDERATION,RUS,1991-09-27,179.0,178.0,70.3,,27.0,0.0,2.0
"Jones, Jon",sr:competitor:253371,2,male,pound_for_pound,2025,19,UNITED STATES,USA,1987-07-19,215.0,194.0,112.5,Bones,28.0,0.0,1.0
"Topuria, Ilia",sr:competitor:750503,3,male,pound_for_pound,2025,19,GERMANY,DEU,1997-01-21,175.0,170.0,65.5,El Matador,16.0,0.0,0.0
"Dvalishvili, Merab",sr:competitor:399183,4,male,pound_for_pound,2025,19,GEORGIA,GEO,1991-01-10,173.0,168.0,60.8,The Machine,18.0,0.0,4.0
"Du Plessis, Dricus",sr:competitor:400461,5,male,pound_for_pound,2025,19,,,1994-01-14,193.0,185.0,83.9,Stillknocks,23.0,0.0,2.0
"Ankalaev, Magomed",sr:competitor:419867,6,male,pound_for_pound,2025,19,RUSSIAN FEDERATION,RUS,1992-06-02,191.0,191.0,93.0,,21.0,1.0,1.0
"Muhammad, Belal",sr:competitor:267867,7,male,pound_for_pound,2025,19,UNITED STATES,USA,1988-07-09,183.0,180.0,77.1,Remember The Name,24.0,0.0,4.0
"Pereira, Alex",sr:competitor:837536,8,male,pound_for_pound,2025,19,BRAZIL,BRA,1987-07-07,203.0,194.0,93.0,Poatan,12.0,0.0,3.0
"Volkanovski, Alex",sr:competitor:290262,9,male,pound_for_pound,2025,19,AUSTRALIA,AUS,1988-09-29,182.0,168.0,65.8,The Great,27.0,0.0,4.0
"Pantoja, Alexandre",sr:competitor:312032,10,male,pound_for_pound,2025,19,BRAZIL,BRA,1990-04-16,173.0,166.0,61.2,The Cannibal,29.0,0.0,5.0
"Aspinall, Tom",sr:competitor:545279,11,male,pound_for_pound,2025,19,ENGLAND,ENG,1993-04-11,198.0,196.0,113.9,,15.0,0.0,3.0
"Holloway, Max",sr:competitor:237652,12,male,pound_for_pound,2025,19,UNITED STATES,USA,1991-12-04,175.0,180.0,70.8,Blessed,26.0,0.0,8.0
"O'Malley, Sean",sr:competitor:397240,13,male,pound_for_pound,2025,19,UNITED STATES,USA,1994-10-24,183.0,180.0,61.2,Suga,18.0,0.0,1.0
"Oliveira, Charles",sr:competitor:542119,14,male,pound_for_pound,2025,19,BRAZIL,BRA,1989-10-17,188.0,178.0,70.8,Do Bronx,35.0,0.0,10.0
"Tsarukyan, Arman",sr:competitor:567145,15,male,pound_for_pound,2025,19,GEORGIA,GEO,1996-10-11,184.0,170.0,70.8,Ahalkalakets,22.0,0.0,3.0
"Pantoja, Alexandre",sr:competitor:312032,0,male,flyweight,2025,19,BRAZIL,BRA,1990-04-16,173.0,166.0,61.2,The Cannibal,29.0,0.0,5.0
"Royval, Brandon",sr:competitor:715231,1,male,flyweight,2025,19,UNITED STATES,USA,1992-08-16,179.0,175.0,57.1,Raw Dawg,17.0,0.0,7.0
"Moreno, Brandon",sr:competitor:288695,2,male,flyweight,2025,19,MEXICO,MEX,1993-12-07,178.0,170.0,57.1,The Assassin Baby,23.0,2.0,8.0
"Albazi, Amir",sr:competitor:441656,3,male,flyweight,2025,19,IRAQ,IRQ,1993-10-27,173.0,165.0,57.2,The Prince,17.0,0.0,2.0
"Kara-France, Kai",sr:competitor:511412,4,male,flyweight,2025,19,NEW ZEALAND,NZL,1993-03-26,175.0,163.0,56.7,Don't Blink,25.0,0.0,11.0
"Taira, Tatsuro",sr:competitor:879899,5,male,flyweight,2025,19,JAPAN,JPN,2000-01-27,178.0,170.0,57.2,,16.0,0.0,1.0
"Kape, Manel",sr:competitor:384992,6,male,flyweight,2025,19,ANGOLA,AGO,1993-11-14,173.0,165.0,56.9,StarBoy,21.0,0.0,7.0
"Perez, Alex",sr:competitor:399179,7,male,flyweight,2025,19,UNITED STATES,USA,1992-03-21,166.0,168.0,57.2,,25.0,0.0,9.0
"Almabayev, Asu",sr:competitor:1005683,8,male,flyweight,2025,19,,,1994-01-25,165.0,163.0,56.9,Zulfikar,21.0,0.0,3.0
"Erceg, Steve",sr:competitor:909471,9,male,flyweight,2025,19,,,1995-07-27,174.0,173.0,56.9,Astroboy,12.0,0.0,4.0
"Ulanbekov, Tagir",sr:competitor:723645,10,male,flyweight,2025,19,RUSSIAN FEDERATION,RUS,1991-07-08,178.0,170.0,56.5,,16.0,0.0,2.0
"Elliott, Tim",sr:competitor:303538,11,male,flyweight,2025,19,UNITED STATES,USA,1986-12-24,168.0,170.0,61.7,,21.0,1.0,13.0
"Silva, Bruno",sr:competitor:588493,12,male,flyweight,2025,19,BRAZIL,BRA,1990-03-16,168.0,163.0,57.2,Bulldog,14.0,2.0,6.0
"Temirov, Ramazonbek",sr:competitor:1003149,13,male,flyweight,2025,19,,,1997-01-31,160.0,163.0,56.9,Temurlan,18.0,0.0,2.0
"van, Joshua",sr:competitor:1000813,14,male,flyweight,2025,19,,,2001-10-10,165.0,165.0,56.9,The Fearless,13.0,0.0,2.0
"Asakura, Kai",sr:competitor:401993,15,male,flyweight,2025,19,,,1993-10-31,175.0,172.0,56.7,,21.0,0.0,5.0
"Dvalishvili, Merab",sr:competitor:399183,0,male,bantamweight,2025,19,GEORGIA,GEO,1991-01-10,173.0,168.0,60.8,The Machine,18.0,0.0,4.0
