Event Name,Event URL,Card Type,Fighter 1,Fighter 2,Method,Round,Time,Notes
The Ultimate Fighter: Team Joanna vs. Team Cl%C3%A1udia#The Ultimate Fighter 23 Finale,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_Joanna_vs._Team_Cl%C3%A1udia#The_Ultimate_Fighter_23_Finale,Main Card,Dave Hagen,Jędrzejczyk,9,9,10,10
The Ultimate Fighter: Team Joanna vs. Team Cl%C3%A1udia#The Ultimate Fighter 23 Finale,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_Joanna_vs._Team_Cl%C3%A1udia#The_Ultimate_Fighter_23_Finale,Main Card,Gadelha,10,10,9,8,8
The Ultimate Fighter: Team Joanna vs. Team Cl%C3%A1udia#The Ultimate Fighter 23 Finale,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_Joanna_vs._Team_Cl%C3%A1udia#The_Ultimate_Fighter_23_Finale,Main Card,Jeff Mullen,Jędrzejczyk,9,9,10,10
The Ultimate Fighter: Team Joanna vs. Team Cl%C3%A1udia#The Ultimate Fighter 23 Finale,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_Joanna_vs._Team_Cl%C3%A1udia#The_Ultimate_Fighter_23_Finale,Main Card,Gadelha,10,10,9,8,9
The Ultimate Fighter: Team Joanna vs. Team Cl%C3%A1udia#The Ultimate Fighter 23 Finale,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_Joanna_vs._Team_Cl%C3%A1udia#The_Ultimate_Fighter_23_Finale,Main Card,Marcos Rosales,Jędrzejczyk,9,9,10,10
The Ultimate Fighter: Team Joanna vs. Team Cl%C3%A1udia#The Ultimate Fighter 23 Finale,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_Joanna_vs._Team_Cl%C3%A1udia#The_Ultimate_Fighter_23_Finale,Main Card,Gadelha,10,10,9,8,9
The Ultimate Fighter: Team McGregor vs. Team Faber#The Ultimate Fighter 22 Finale,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_McGregor_vs._Team_Faber#The_Ultimate_Fighter_22_Finale,Main Card,Ryan Hall,Frantz Slioa,SUB,1,,
The Ultimate Fighter: Team McGregor vs. Team Faber#The Ultimate Fighter 22 Finale,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_McGregor_vs._Team_Faber#The_Ultimate_Fighter_22_Finale,Main Card,Chris Gruetzemacher,Sascha Sharma,UD,3,,
The Ultimate Fighter: Team McGregor vs. Team Faber#The Ultimate Fighter 22 Finale,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_McGregor_vs._Team_Faber#The_Ultimate_Fighter_22_Finale,Main Card,Tom Gallicchio,Marcin Wrzosek,UD,2,,
The Ultimate Fighter: Team McGregor vs. Team Faber#The Ultimate Fighter 22 Finale,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_McGregor_vs._Team_Faber#The_Ultimate_Fighter_22_Finale,Main Card,Billy Quarantillo,Saul Rogers,UD,2,,
The Ultimate Fighter: Team McGregor vs. Team Faber#The Ultimate Fighter 22 Finale,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_McGregor_vs._Team_Faber#The_Ultimate_Fighter_22_Finale,Main Card,Julian Erosa,Mehdi Baghdad,MD,2,,
The Ultimate Fighter: Team McGregor vs. Team Faber#The Ultimate Fighter 22 Finale,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_McGregor_vs._Team_Faber#The_Ultimate_Fighter_22_Finale,Main Card,Thanh Le,Martin Svensson,SUB,2,,
The Ultimate Fighter: Team McGregor vs. Team Faber#The Ultimate Fighter 22 Finale,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_McGregor_vs._Team_Faber#The_Ultimate_Fighter_22_Finale,Main Card,James Jenkins,Artem Lobov,TKO,1,,
The Ultimate Fighter: Team McGregor vs. Team Faber#The Ultimate Fighter 22 Finale,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_McGregor_vs._Team_Faber#The_Ultimate_Fighter_22_Finale,Main Card,Johnny Nuñez,David Teymur,UD,3,,
The Ultimate Fighter: Team McGregor vs. Team Faber#The Ultimate Fighter 22 Finale,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_McGregor_vs._Team_Faber#The_Ultimate_Fighter_22_Finale,Main Card,Jason Gonzalez,Abner Lloveras,UD,2,,
The Ultimate Fighter: American Top Team vs. Blackzilians#The Ultimate Fighter 21 Finale,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_American_Top_Team_vs._Blackzilians#The_Ultimate_Fighter_21_Finale,Main Card,Kamaru Usman,Michael Graves,MD,2,25,
The Ultimate Fighter: American Top Team vs. Blackzilians#The Ultimate Fighter 21 Finale,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_American_Top_Team_vs._Blackzilians#The_Ultimate_Fighter_21_Finale,Main Card,Luiz Firmino,Uros Jurisic,UD,2,25,
The Ultimate Fighter: American Top Team vs. Blackzilians#The Ultimate Fighter 21 Finale,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_American_Top_Team_vs._Blackzilians#The_Ultimate_Fighter_21_Finale,Main Card,Valdir Araújo,Steve Carl,SUB,2,25,
The Ultimate Fighter: American Top Team vs. Blackzilians#The Ultimate Fighter 21 Finale,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_American_Top_Team_vs._Blackzilians#The_Ultimate_Fighter_21_Finale,Main Card,Carrington Banks,Sabah Homasi,UD,3,25,
The Ultimate Fighter: American Top Team vs. Blackzilians#The Ultimate Fighter 21 Finale,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_American_Top_Team_vs._Blackzilians#The_Ultimate_Fighter_21_Finale,Main Card,Andrews Nakahara,Hayder Hassan,TKO,1,50,
The Ultimate Fighter: American Top Team vs. Blackzilians#The Ultimate Fighter 21 Finale,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_American_Top_Team_vs._Blackzilians#The_Ultimate_Fighter_21_Finale,Main Card,Marcelo Alfaya,Jason Jackson,MD,2,50,
The Ultimate Fighter: American Top Team vs. Blackzilians#The Ultimate Fighter 21 Finale,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_American_Top_Team_vs._Blackzilians#The_Ultimate_Fighter_21_Finale,Main Card,Vicente Luque,Nathan Coy,SUB,3,50,
The Ultimate Fighter: American Top Team vs. Blackzilians#The Ultimate Fighter 21 Finale,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_American_Top_Team_vs._Blackzilians#The_Ultimate_Fighter_21_Finale,Main Card,Felipe Portela,Hayder Hassan,MD,2,50,
The Ultimate Fighter: American Top Team vs. Blackzilians#The Ultimate Fighter 21 Finale,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_American_Top_Team_vs._Blackzilians#The_Ultimate_Fighter_21_Finale,Main Card,Steve Carl,Kamaru Usman,UD,2,100,
The Ultimate Fighter: American Top Team vs. Blackzilians#The Ultimate Fighter 21 Finale,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_American_Top_Team_vs._Blackzilians#The_Ultimate_Fighter_21_Finale,Main Card,Valdir Araújo,Nathan Coy,UD,2,100,
The Ultimate Fighter: American Top Team vs. Blackzilians#The Ultimate Fighter 21 Finale,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_American_Top_Team_vs._Blackzilians#The_Ultimate_Fighter_21_Finale,Main Card,Michael Graves,Jason Jackson,SUB,1,100,
The Ultimate Fighter: American Top Team vs. Blackzilians#The Ultimate Fighter 21 Finale,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_American_Top_Team_vs._Blackzilians#The_Ultimate_Fighter_21_Finale,Main Card,Hayder Hassan,Vicente Luque,SD,3,100,
UFC on Fox: Henderson vs. Melendez,https://en.wikipedia.org/wiki/UFC_on_Fox:_Henderson_vs._Melendez,Main Card,No,Best Fighter,"The
Upsets","The
Submissions",The Newcomers,"The
Knockouts"
UFC on Fox: Henderson vs. Melendez,https://en.wikipedia.org/wiki/UFC_on_Fox:_Henderson_vs._Melendez,Main Card,1,Chris Weidman,Chris Weidman  defeats  Anderson Silva 1  UFC 162,Anthony Pettis  defeats  Benson Henderson  UFC 164,Brandon Thatch,Chris Weidman  defeats  Anderson Silva 1  UFC 162
UFC on Fox: Henderson vs. Melendez,https://en.wikipedia.org/wiki/UFC_on_Fox:_Henderson_vs._Melendez,Main Card,2,Demetrious Johnson,Antônio Silva  defeats   Alistair Overeem  UFC 156,Kenny Robertson  defeats   Brock Jardine  UFC 157,Conor McGregor,Vitor Belfort  defeats  Dan Henderson 2  UFC Fight Night: Belfort vs. Henderson 2
UFC on Fox: Henderson vs. Melendez,https://en.wikipedia.org/wiki/UFC_on_Fox:_Henderson_vs._Melendez,Main Card,3,Vitor Belfort,TJ Grant  defeats   Gray Maynard  UFC  160,Ronaldo Souza  defeats   Chris Camozzi  UFC on FX: Belfort vs. Rockhold,Kelvin Gastelum,Maurício Rua  defeats  James Te Huna  UFC Fight Night: Hunt vs. Bigfoot
UFC on Fox: Henderson vs. Melendez,https://en.wikipedia.org/wiki/UFC_on_Fox:_Henderson_vs._Melendez,Main Card,4,Urijah Faber,Stipe Miocic  defeats  Roy Nelson  UFC 161,Ronda Rousey  defeats  Liz Carmouche  UFC 157,Ryan LaFlare,Renan Barão  defeats  Eddie Wineland  UFC 165
UFC on Fox: Henderson vs. Melendez,https://en.wikipedia.org/wiki/UFC_on_Fox:_Henderson_vs._Melendez,Main Card,5,Travis Browne,Robbie Lawler  defeats  Rory MacDonald 1 UFC 167,Antônio Braga Neto  defeats  Anthony Smith  UFC on Fuel TV: Nogueira vs. Werdum,Lim Hyun-gyu,Junior dos Santos  defeats  Mark Hunt  UFC 160
UFC on Fox: Henderson vs. Melendez,https://en.wikipedia.org/wiki/UFC_on_Fox:_Henderson_vs._Melendez,Main Card,6,Anthony Pettis,Michael Johnson  defeats  Joe Lauzon  UFC Fight Night: Shogun vs. Sonnen,Fabrício Werdum  defeats  Antônio Rogério Nogueira  UFC on Fuel TV: Nogueira vs. Werdum,Sara McMann,Vitor Belfort  defeats  Luke Rockhold   UFC on FX: Belfort vs. Rockhold
UFC on Fox: Henderson vs. Melendez,https://en.wikipedia.org/wiki/UFC_on_Fox:_Henderson_vs._Melendez,Main Card,7,Cain Velasquez,Kelvin Gastelum  defeats  Uriah Hall  The Ultimate Fighter: Team Jones vs. Team Sonnen Finale,The Faber Trifecta - Urijah Faber defeats  Ivan Menjivar at UFC 157  Scott Jorgensen at The Ultimate Fighter: Team Jones vs. Team Sonnen Finale  Michael McDonald at UFC on Fox: Johnson vs. Benavidez 2,Cat Zingano,Antônio Silva  defeats  Alistair Overeem  UFC 156
UFC on Fox: Henderson vs. Melendez,https://en.wikipedia.org/wiki/UFC_on_Fox:_Henderson_vs._Melendez,Main Card,8,Robbie Lawler,Antônio Rogério Nogueira  defeats  Rashad Evans  UFC 156,Sérgio Moraes  defeats  Neil Magny  UFC 163,Chris Holdsworth,Wanderlei Silva  defeats  Brian Stann  UFC on Fuel TV: Silva vs. Stann
UFC on Fox: Henderson vs. Melendez,https://en.wikipedia.org/wiki/UFC_on_Fox:_Henderson_vs._Melendez,Main Card,9,Georges St-Pierre,Reza Madadi  defeats  Michael Johnson  UFC on Fuel TV: Mousasi vs. Latifi,Piotr Hallmann  defeats  Francisco Trinaldo  UFC Fight Night: Teixeira vs. Bader,Ali Bagautinov,Lyoto Machida  defeats  Mark Muñoz  UFC Fight Night: Machida vs. Muñoz
UFC on Fox: Henderson vs. Melendez,https://en.wikipedia.org/wiki/UFC_on_Fox:_Henderson_vs._Melendez,Main Card,10,Jon Jones,Renée Forte  defeats  Terry Etim  UFC on Fuel TV: Barão vs. McDonald,Brendan Schaub  defeats  Matt Mitrione  UFC 165,Jessica Eye,Demetrious Johnson defeats  Joseph Benavidez 2 UFC on Fox: Johnson vs. Benavidez 2
UFC on Fox: Henderson vs. Melendez,https://en.wikipedia.org/wiki/UFC_on_Fox:_Henderson_vs._Melendez,Main Card,Ref,[2],[3],[4],[5],[6]
UFC on FX: Belfort vs. Bisping,https://en.wikipedia.org/wiki/UFC_on_FX:_Belfort_vs._Bisping,Main Card,No,Best Fighter,"The
Upsets","The
Submissions",The Newcomers,"The
Knockouts"
UFC on FX: Belfort vs. Bisping,https://en.wikipedia.org/wiki/UFC_on_FX:_Belfort_vs._Bisping,Main Card,1,Chris Weidman,Chris Weidman  defeats  Anderson Silva 1  UFC 162,Anthony Pettis  defeats  Benson Henderson  UFC 164,Brandon Thatch,Chris Weidman  defeats  Anderson Silva 1  UFC 162
UFC on FX: Belfort vs. Bisping,https://en.wikipedia.org/wiki/UFC_on_FX:_Belfort_vs._Bisping,Main Card,2,Demetrious Johnson,Antônio Silva  defeats   Alistair Overeem  UFC 156,Kenny Robertson  defeats   Brock Jardine  UFC 157,Conor McGregor,Vitor Belfort  defeats  Dan Henderson 2  UFC Fight Night: Belfort vs. Henderson 2
UFC on FX: Belfort vs. Bisping,https://en.wikipedia.org/wiki/UFC_on_FX:_Belfort_vs._Bisping,Main Card,3,Vitor Belfort,TJ Grant  defeats   Gray Maynard  UFC  160,Ronaldo Souza  defeats   Chris Camozzi  UFC on FX: Belfort vs. Rockhold,Kelvin Gastelum,Maurício Rua  defeats  James Te Huna  UFC Fight Night: Hunt vs. Bigfoot
UFC on FX: Belfort vs. Bisping,https://en.wikipedia.org/wiki/UFC_on_FX:_Belfort_vs._Bisping,Main Card,4,Urijah Faber,Stipe Miocic  defeats  Roy Nelson  UFC 161,Ronda Rousey  defeats  Liz Carmouche  UFC 157,Ryan LaFlare,Renan Barão  defeats  Eddie Wineland  UFC 165
UFC on FX: Belfort vs. Bisping,https://en.wikipedia.org/wiki/UFC_on_FX:_Belfort_vs._Bisping,Main Card,5,Travis Browne,Robbie Lawler  defeats  Rory MacDonald 1 UFC 167,Antônio Braga Neto  defeats  Anthony Smith  UFC on Fuel TV: Nogueira vs. Werdum,Lim Hyun-gyu,Junior dos Santos  defeats  Mark Hunt  UFC 160
UFC on FX: Belfort vs. Bisping,https://en.wikipedia.org/wiki/UFC_on_FX:_Belfort_vs._Bisping,Main Card,6,Anthony Pettis,Michael Johnson  defeats  Joe Lauzon  UFC Fight Night: Shogun vs. Sonnen,Fabrício Werdum  defeats  Antônio Rogério Nogueira  UFC on Fuel TV: Nogueira vs. Werdum,Sara McMann,Vitor Belfort  defeats  Luke Rockhold   UFC on FX: Belfort vs. Rockhold
UFC on FX: Belfort vs. Bisping,https://en.wikipedia.org/wiki/UFC_on_FX:_Belfort_vs._Bisping,Main Card,7,Cain Velasquez,Kelvin Gastelum  defeats  Uriah Hall  The Ultimate Fighter: Team Jones vs. Team Sonnen Finale,The Faber Trifecta - Urijah Faber defeats  Ivan Menjivar at UFC 157  Scott Jorgensen at The Ultimate Fighter: Team Jones vs. Team Sonnen Finale  Michael McDonald at UFC on Fox: Johnson vs. Benavidez 2,Cat Zingano,Antônio Silva  defeats  Alistair Overeem  UFC 156
UFC on FX: Belfort vs. Bisping,https://en.wikipedia.org/wiki/UFC_on_FX:_Belfort_vs._Bisping,Main Card,8,Robbie Lawler,Antônio Rogério Nogueira  defeats  Rashad Evans  UFC 156,Sérgio Moraes  defeats  Neil Magny  UFC 163,Chris Holdsworth,Wanderlei Silva  defeats  Brian Stann  UFC on Fuel TV: Silva vs. Stann
